item,brand,category,collaboration,connection,retail_price,release_year,current_resale,price_low,price_high,volatility_pct,sales_volume,distribution_restriction,access_restriction,replenishment_scarcity,replenishment_status,retail_scarcity_score,scarcity_score,scarcity_confidence,scarcity_basis,legacy_scarcity_score,benchmark_sample,item_cagr,matched_sp_cagr,excess_cagr,beat_sp500,data_status,source,source_url
Air Jordan 11 Gratitude,Jordan,Sneaker,,,230,2023,217,75,264,13,1700,25,25,50,Observed,33.75,33.75,High,Broad Jordan/Nike/chain release; normal launch; later replenishment documented,58,Yes,-0.016486009289039316,0.22785079680057452,-0.24433680608961383,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-11-retro-gratitude
Air Jordan 3 White Cement Reimagined,Jordan,Sneaker,,,210,2023,272,117,287,17,900,25,25,50,Observed,33.75,33.75,High,Broad Jordan release; standard access; later SNKRS restock documented,68,Yes,0.07671283069202306,0.22785079680057452,-0.15113796610855146,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-3-retro-white-cement-reimagined
Air Jordan 4 A Ma Maniere Violet Ore,Jordan,Sneaker,,,225,2022,254,128,297,16,210,50,75,100,Observed,72.5,72.5,High,A Ma Maniere/Nike/select boutiques; raffle-heavy; one release window,76,Yes,0.027307044844340655,0.12215651498655733,-0.09484947014221667,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-4-retro-a-ma-maniere-violet-ore-w
Air Jordan 4 Bred Reimagined,Jordan,Sneaker,,,215,2024,211,85,278,18,2100,25,25,50,Observed,33.75,33.75,High,Broad global Jordan retail + shock drop/main launch; replenishment documented,62,Yes,-0.007483813622060187,0.2141050055954572,-0.22158881921751739,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-4-retro-bred-reimagined
Air Jordan 4 Military Blue 2024,Jordan,Sneaker,,,215,2024,193,80,260,16,2500,25,25,25,Observed,25,25,High,Broad major-retailer release with multiple replenishment opportunities,60,Yes,-0.042260190681359555,0.2141050055954572,-0.25636519627681675,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-4-retro-military-blue-2024
Asics Gel-Kayano 14 JJJJound Silver White,ASICS,Sneaker,,,180,2022,182,180,325,20,75,75,50,50,Observed,61.25,61.25,High,JJJJound/ASICS/select retailers; mixed access; later Europe restock documented,76,Yes,0.0024585364088669515,0.12215651498655733,-0.11969797857769038,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/asics-gel-kayano-14-jjjjound-silver-white
Jordan 4 SB Navy,Jordan,Sneaker,,,225,2025,219,120,342,18,3728,75,75,,Age-adjusted / R withheld,75,75,High,Local skate shops + SNKRS/Exclusive Access; raffle-heavy; <24 months so recurrence withheld,62,No,,,,,verified_snapshot,StockX 3M market data,https://stockx.com/air-jordan-4-retro-sb-navy
Jordan 4 SB Pine Green,Jordan,Sneaker,,,225,2023,383,191,680,22,614,75,50,50,Observed,61.25,61.25,High,Select skate shops + SNKRS; mixed draw/retail; later Exclusive Access restock,80,Yes,0.16413847913793655,0.22785079680057452,-0.06371231766263796,False,verified_snapshot,StockX 3M market data,https://stockx.com/air-jordan-4-retro-sb-pine-green
Kobe 6 Protro Grinch,Nike,Sneaker,,,180,2020,790,536,1444,20,199,50,50,50,Observed,50,50,High,Nike plus select Foot Locker/DICK’S/retailers; mixed raffles; later replenishment/restock,86,Yes,0.25552042561945676,0.1555817775311361,0.09993864808832065,True,verified_snapshot,StockX 3M market data,https://stockx.com/nike-kobe-6-protro-grinch
Kobe 6 Protro Reverse Grinch,Nike,Sneaker,,,180,2023,412,256,730,13,700,25,50,100,Observed,56.25,56.25,High,Wider Nike/major-retailer release; mixed raffle/standard; no documented exact-color rerelease,78,Yes,0.26692211583967596,0.22785079680057452,0.03907131903910144,True,verified_snapshot,StockX 3M market data,https://stockx.com/nike-kobe-6-protro-reverse-grinch
New Balance 2002R Protection Pack Rain Cloud,New Balance,Sneaker,,,150,2021,117,82,186,18,180,50,25,50,Observed,45,45,High,New Balance + select retailers; standard access; Protection Pack Rain Cloud had later retail replenishment,68,Yes,-0.0441696048488992,0.15048859547142568,-0.19465820032032488,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/new-balance-2002r-protection-pack-rain-cloud
New Balance 992 JJJJound Grey,New Balance,Sneaker,,,260,2020,789,584,1203,28,11,75,50,100,Observed,78.75,78.75,High,Initial JJJJound-site release then select retailers/lotteries; no later exact-color re-release,86,Yes,0.18623243061920025,0.1555817775311361,0.03065065308806414,True,verified_snapshot,StockX 3M market data,https://stockx.com/new-balance-992-jjjjound
Nike Air Yeezy 2 Red October,Nike,Sneaker,,,250,2014,8000,6000,16000,30,5,100,100,100,Observed,100,100,High,Nike.com-only surprise release; no authorized re-release,99,Yes,0.3195079107728942,0.13849468706622314,0.18101322370667106,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-air-yeezy-2-red-october
Nike Air Yeezy 2 Solar Red,Nike,Sneaker,,,250,2012,2202,2202,4401,28,4,75,100,100,Observed,88.75,88.75,High,Very select Nike accounts with Twitter RSVP; no exact re-release,98,Yes,0.1618871594271396,0.15188838271638438,0.00999877671075522,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-air-yeezy-2-solar-red
Nike Dunk Low Cactus Plant Flea Market Swamp Sponge Photo Blue,Nike,Sneaker,Cactus Plant Flea Market,Streetwear,155,2025,278,184,599,15,161,50,75,,Age-adjusted / R withheld,57.69,57.69,High,CPFM website raffle followed by planned Nike SNKRS release; <24 months so recurrence withheld,70,No,,,,,verified_snapshot,StockX product snapshot; added May 2026,https://stockx.com/nike-dunk-low-cactus-plant-flea-market-swamp-sponge-photo-blue
Nike Dunk Low Cactus Plant Flea Market Swamp Sponge Psychic Purple,Nike,Sneaker,Cactus Plant Flea Market,Streetwear,155,2025,235,169,539,41,168,50,75,,Age-adjusted / R withheld,57.69,57.69,High,CPFM website raffle followed by planned Nike SNKRS release; <24 months so recurrence withheld,68,No,,,,,verified_snapshot,StockX 3M market data; added May 2026,https://stockx.com/nike-dunk-low-cactus-plant-flea-market-swamp-sponge-psychic-purple
Nike Dunk Low Off-White Lot 50,Nike,Sneaker,,,180,2021,833,526,902,24,80,100,100,100,Observed,100,100,High,SNKRS Exclusive Access only for Lot 50 allocation; no exact re-release,87,Yes,0.3212251057618585,0.15048859547142568,0.1707365102904328,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-dunk-low-off-white-lot-50
Nike Dunk Low Retro White Black Panda,Nike,Sneaker,,,115,2021,68,31,147,13,3027,25,25,0,Observed,16.25,16.25,High,Broad Nike retail with repeated restocks over multiple years,18,Yes,-0.09111046269608547,0.15048859547142568,-0.24159905816751115,False,verified_snapshot,StockX 3M market data; added May 2026,https://stockx.com/nike-dunk-low-retro-white-black-2021
Nike Mind 001 Slide Black Chrome,Nike,Sneaker,,,95,2026,210,129,260,18,300,50,25,75,Observed,53.75,53.75,High,Nike + select retailers; ordinary scheduled release; 2026 release/restock calendar,58,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-black-chrome
Nike Mind 001 Slide Black Chrome Womens,Nike,Sneaker,,,95,2026,144,90,190,16,220,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,50,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-black-chrome-w
Nike Mind 001 Slide Blackened Blue Game Royal,Nike,Sneaker,,,80,2026,163,80,211,27,55,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,76,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-blackened-blue-game-royal
Nike Mind 001 Slide Fragment Black,Nike,Sneaker,,,90,2026,877,479,1400,20,45,75,25,,Age-adjusted / R withheld,59.62,59.62,High,"Fragment retail first, then global SNKRS + select partners; recurrence withheld because <24 months",90,No,,,,,verified_snapshot,StockX 3M market data,https://stockx.com/nike-mind-001-slide-fragment-black
Nike Mind 001 Slide Geode Teal Light Menta,Nike,Sneaker,,,95,2026,146,95,143,22,120,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,66,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-geode-teal-light-menta
Nike Mind 001 Slide Light Bone,Nike,Sneaker,,,95,2026,185,95,224,24,95,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,70,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-light-bone
Nike Mind 001 Slide Light Smoke Grey,Nike,Sneaker,,,95,2026,253,114,554,15,2934,50,25,75,Observed,53.75,53.75,High,Nike + select retailers; ordinary scheduled release; 2026 release/restock calendar,54,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-light-smoke-grey
Nike Mind 001 Slide Light Smoke Grey Womens,Nike,Sneaker,,,95,2026,185,95,224,16,200,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,52,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-light-smoke-grey-w
Nike Mind 001 Slide Mineral Slate,Nike,Sneaker,,,95,2026,165,95,190,18,160,50,25,75,Observed,53.75,53.75,High,Nike + select retailers; ordinary scheduled release; 2026 release/restock calendar,58,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-mineral-slate
Nike Mind 001 Slide Pearl Pink Womens,Nike,Sneaker,,,95,2026,116,95,195,20,140,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,58,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-pearl-pink-w
Nike Mind 001 Slide Sail,Nike,Sneaker,,,95,2026,247,95,216,22,130,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,66,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-sail
Nike Mind 001 Slide Sail Womens,Nike,Sneaker,,,40,2026,137,40,169,18,170,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,55,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-sail-w
Nike Mind 001 Slide Solar Red,Nike,Sneaker,,,95,2026,267,95,290,18,280,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,58,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-solar-red
Nike Mind 001 Slide Solar Red Womens,Nike,Sneaker,,,95,2026,106,95,188,17,190,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,52,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-solar-red-w
Nike Mind 001 Slide Team Red University Red,Nike,Sneaker,,,95,2026,197,95,251,22,120,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,66,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-team-red-university-red
Nike Mind 001 Slide White Speed Red,Nike,Sneaker,,,95,2026,182,95,239,24,90,50,25,,Age-adjusted / R withheld,42.31,42.31,Medium,Nike + select retailers; ordinary scheduled 2026 launch; recurrence withheld because item is <24 months old,69,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-mind-001-slide-white-speed-red
Nike SB Dunk Low April Skateboards,Nike SB,Sneaker,,,120,2023,340,211,300,20,300,75,50,100,Observed,78.75,78.75,High,Select skate shops + SNKRS; local raffles/mixed access; one exact release,78,Yes,0.34656681051893146,0.22785079680057452,0.11871601371835694,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-sb-dunk-low-april-skateboards
Nike SB Dunk Low Born x Raised,Nike SB,Sneaker,,,130,2023,404,235,640,16,147,100,25,100,Observed,85,85,High,US release exclusive to Born x Raised website; normal online drop; no rerelease,87,Yes,0.3826000717585105,0.22785079680057452,0.154749274957936,True,verified_snapshot,StockX 3M market data,https://stockx.com/nike-sb-dunk-low-born-x-raised-one-block-at-a-time
Nike SB Dunk Low Chunky Dunky,Nike SB,Sneaker,,,100,2020,975,975,3027,24,55,75,75,100,Observed,83.75,83.75,High,Skateshops + SNKRS Draw/Exclusive Access; raffle-heavy; no rerelease,94,Yes,0.41956262425278634,0.1555817775311361,0.26398084672165023,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-sb-dunk-low-pro-ben-and-jerrys-chunky-dunky
Nike SB Dunk Low Jarritos,Nike SB,Sneaker,,,130,2023,477,244,1095,21,152,75,75,100,Observed,83.75,83.75,High,Select skateshops + SNKRS draw; raffle-heavy; no rerelease,84,Yes,0.4497968455851411,0.22785079680057452,0.22194604878456659,True,verified_snapshot,StockX 3M market data,https://stockx.com/nike-sb-dunk-low-jarritos
Nike SB Dunk Low Supreme Stars Brown,Nike SB,Sneaker,,,110,2021,365,273,326,19,85,100,25,100,Observed,85,85,High,Supreme-exclusive exact colorway release; scheduled drop; no rerelease,82,Yes,0.2436813549429122,0.15048859547142568,0.09319275947148653,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-sb-dunk-low-supreme-stars-barkroot-brown
Nike SB Dunk Low Yuto Horigome,Nike SB,Sneaker,,,130,2023,234,222,281,18,420,75,50,100,Observed,78.75,78.75,High,Select skate shops + SNKRS; mixed access; no rerelease,76,Yes,0.18286450944590138,0.22785079680057452,-0.04498628735467314,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/nike-sb-dunk-low-yuto-horigome
Off-White Jordan 1 Chicago,Jordan,Sneaker,,,190,2017,3132,2205,3875,16,26,75,75,100,Observed,83.75,83.75,High,The Ten select retailers; in-store allocations largely raffle-based; no exact rerelease,96,Yes,0.34311264260151564,0.1546840711013142,0.18842857150020142,True,verified_snapshot,StockX 3M market data,https://stockx.com/air-jordan-1-retro-high-off-white-chicago
Travis Scott Jordan 1 High Mocha,Jordan,Sneaker,,,175,2019,1197,890,1106,20,90,75,75,100,Observed,83.75,83.75,High,Travis/Nike/select retail network; raffle-heavy; no exact rerelease,94,Yes,0.2922329585102488,0.17565426453483535,0.11657869397541343,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-1-retro-high-travis-scott
Travis Scott Jordan 1 Low Black Phantom,Jordan,Sneaker,,,150,2022,956,392,1700,14,316,75,75,100,Observed,83.75,83.75,High,Travis/Nike/DSM/select retailers; raffle-heavy; no exact rerelease,92,Yes,0.5092046711385421,0.12215651498655733,0.38704815615198473,True,verified_snapshot,StockX 3M market data,https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-black-phantom
Travis Scott Jordan 1 Low Fragment,Jordan,Sneaker,,,150,2021,1089,1089,2750,22,130,75,75,100,Observed,83.75,83.75,High,Travis raffle + select retailers; raffle-heavy; no exact rerelease,95,Yes,0.4339497448803453,0.15048859547142568,0.28346114940891964,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-1-low-fragment-design-x-travis-scott
Travis Scott Jordan 1 Low Reverse Mocha,Jordan,Sneaker,,,150,2022,1261,1145,1610,18,260,75,75,100,Observed,83.75,83.75,High,Travis raffle + Tier Zero retailers; raffle-heavy; no exact rerelease,90,Yes,0.6049886356593135,0.12215651498655733,0.48283212067275616,True,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-reverse-mocha
Yeezy 350 V2 Zebra,Adidas Yeezy,Sneaker,,,220,2017,275,118,619,15,688,25,25,25,Observed,25,25,High,Broad Yeezy retail; numerous documented Zebra re-releases/restocks,54,Yes,0.023766829247251264,0.1546840711013142,-0.13091724185406295,False,verified_snapshot,StockX 3M market data,https://stockx.com/adidas-yeezy-boost-350-v2-white-core-black-red
Yeezy 700 Wave Runner,Adidas Yeezy,Sneaker,,,300,2017,327,146,651,22,664,25,25,25,Observed,25,25,High,Broad Yeezy retail; at least four documented Wave Runner release/restock windows,62,Yes,0.009112605713633926,0.1546840711013142,-0.1455714653876803,False,verified_snapshot,StockX 3M market data,https://stockx.com/adidas-yeezy-wave-runner-700-solid-grey
BAPE 1st Camo Shark Full Zip Hoodie Green,BAPE,Streetwear,,,499,2018,395,395,395,5,1,50,0,0,Observed,22.5,22.5,High,BAPE Shark/1st Camo is a permanent/recurring collection distributed through BAPE store/dealer network,63,Yes,-0.027121921633031065,0.14742167343709212,-0.17454359507012318,False,verified_snapshot,StockX 3M market data,https://stockx.com/bape-1st-camo-shark-full-zip-hoodie-green
BAPE Shark Full Zip Hoodie Black,BAPE,Streetwear,,,330,2025,526,526,526,17,1,50,25,,Age-adjusted / R withheld,42.31,42.31,High,Seasonal FW25 exact black Shark release through BAPE retail; <24 months,64,No,,,,,verified_snapshot,StockX 3M market data,https://stockx.com/bape-shark-full-zip-hoodie-black
BAPE Shark Full Zip Hoodie Green Camo,BAPE,Streetwear,,,303,2023,425,303,450,20,8,50,0,25,Observed,31.25,31.25,High,Recurring 1st Camo Shark family across seasons; ordinary BAPE retail,65,Yes,0.10150039591194382,0.22785079680057452,-0.1263504008886307,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/bape-1st-camo-shark-full-zip-hoodie-green-camo
CPFM Born Again Hooded Sweatshirt Blue,CPFM,Streetwear,,,240,2019,139,138,138,164,1,100,25,100,Observed,85,85,Medium,Exact 2019 Born Again color sold direct through CPFM web store; no documented exact-color rerelease,52,Yes,-0.07023368508535865,0.17565426453483535,-0.245887949620194,False,verified_snapshot,StockX 3M market data,https://stockx.com/cactus-plant-flea-market-born-again-hooded-sweatshirt-blue
CPFM Born Again Hooded Sweatshirt Orange,CPFM,Streetwear,,,240,2019,240,239,239,31,1,100,25,100,Observed,85,85,Medium,Exact 2019 Born Again color sold direct through CPFM web store; no documented exact-color rerelease,56,Yes,0,0.17565426453483535,-0.17565426453483535,False,verified_snapshot,StockX 3M market data,https://stockx.com/cactus-plant-flea-market-born-again-hooded-sweatshirt-orange
CPFM Born Again Hooded Sweatshirt Red,CPFM,Streetwear,,,240,2019,249,249,249,3,1,100,25,100,Observed,85,85,Medium,Exact 2019 Born Again color sold direct through CPFM web store; no documented exact-color rerelease,58,Yes,0.004920596316803527,0.17565426453483535,-0.17073366821803182,False,verified_snapshot,StockX 3M market data,https://stockx.com/cactus-plant-flea-market-born-again-hooded-sweatshirt-red
CPFM Ye Must Be Born Again Hoodie,CPFM,Streetwear,,,240,2020,250,139,320,25,14,75,25,25,Observed,47.5,47.5,Medium,Ye Must Be Born Again became recurring CPFM motif/product with multiple later color/releases,72,Yes,0.006300069326142355,0.1555817775311361,-0.14928170820499376,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/cactus-plant-flea-market-born-again-hooded-sweatshirt-black
Corteiz 4Starz Alcatraz Tracksuit Black,Corteiz,Streetwear,,,144,2022,164,15,240,34,12,100,75,100,Observed,95,95,Medium,Corteiz direct/password-gated drop model; exact 4Starz release; no exact rerelease,72,Yes,0.029322372712576428,0.12215651498655733,-0.0928341422739809,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/corteiz-4starz-alcatraz-hoodie-black
Corteiz Alcatraz Hoodie Black,Corteiz,Streetwear,,,147,2024,183,20,314,32,18,100,75,,Age-adjusted / R withheld,92.31,92.31,Medium,Corteiz direct/password-gated FW24 drop; recurrence withheld because <24 months old,70,Yes,0.09157480242194116,0.2141050055954572,-0.12253020317351604,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/corteiz-alcatraz-hoodie-black
Denim Tears Cotton Wreath Hoodie Grey,Denim Tears,Streetwear,,,210,2023,258,149,250,24,16,75,25,25,Observed,47.5,47.5,High,Cotton Wreath grey hoodie/product family recurs; Denim Tears direct + flagships/DSM; ordinary drop,66,No,,,,,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/denim-tears-the-cotton-wreath-sweatshirt-grey
Denim Tears Cotton Wreath Sweatpants Grey,Denim Tears,Streetwear,,,190,2023,229,73,225,23,12,75,25,25,Observed,47.5,47.5,Medium,Cotton Wreath grey sweatpants recur in collection; direct/flagship retail,62,Yes,0.05479060242309952,0.22785079680057452,-0.173060194377475,False,verified_snapshot,StockX real data (collected June 2026),https://stockx.com/denim-tears-the-cotton-wreath-sweatpants-grey
Denim Tears Cotton Wreath Zip Hoodie Grey,Denim Tears,Streetwear,,,210,2025,214,150,288,18,37,75,25,,Age-adjusted / R withheld,59.62,59.62,High,SS25 zip hoodie through Denim Tears channels; <24 months,64,No,,,,,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-cotton-wreath-zip-hoodie-grey
Denim Tears The Cotton Wreath Sweatshirt Grey,Denim Tears,Streetwear,,,210,2023,272,161,446,50,100,75,25,25,Observed,47.5,47.5,High,Cotton Wreath sweatshirt/grey motif recurs across seasons; direct retail,66,Yes,0.07671283069202306,0.22785079680057452,-0.15113796610855146,False,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-the-cotton-wreath-sweatshirt-grey
Denim Tears x Levi's Cotton Wreath Jeans Black,Denim Tears,Streetwear,,,295,2021,325,215,440,23,7,75,25,25,Observed,47.5,47.5,High,Denim Tears x Levi’s Cotton Wreath jeans appear across multiple seasons; direct/select retail; standard drop,75,Yes,0.017765012808610203,0.15048859547142568,-0.13272358266281548,False,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-x-levis-cotton-wreath-jean-black
Denim Tears x Levi's Cotton Wreath Jeans Indigo,Denim Tears,Streetwear,,,295,2021,293,292,292,39,1,75,25,25,Observed,47.5,47.5,High,Denim Tears x Levi’s Cotton Wreath jeans appear across multiple seasons; direct/select retail; standard drop,60,Yes,-0.0012360985496335797,0.15048859547142568,-0.15172469402105926,False,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-x-levis-cotton-wreath-jean-indigo
Denim Tears x Levi's Cotton Wreath Jeans Light Wash,Denim Tears,Streetwear,,,295,2021,413,155,747,52,33,75,25,25,Observed,47.5,47.5,High,Denim Tears x Levi’s Cotton Wreath jeans appear across multiple seasons; direct/select retail; standard drop,78,Yes,0.0630868197491341,0.15048859547142568,-0.08740177572229157,False,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-x-levis-cotton-wreath-jean-light-wash
Denim Tears x Levi's Cotton Wreath Jeans White,Denim Tears,Streetwear,,,295,2021,136,100,193,18,30,75,25,25,Observed,47.5,47.5,High,Denim Tears x Levi’s Cotton Wreath jeans appear across multiple seasons; direct/select retail; standard drop,55,Yes,-0.13132441220622304,0.15048859547142568,-0.2818130076776487,False,verified_snapshot,StockX 3M market data,https://stockx.com/denim-tears-x-levis-cotton-wreath-jean-white
